"","zip"
"688","02125"
"689","02126"
"690","02127"
"691","02128"
"692","02129"
"693","02130"
"694","02131"
"695","02132"
"696","02133"
"697","02134"
"698","02135"
"699","02136"
"700","02137"
"701","02138"
"702","02139"
"703","02140"
"704","02141"
"705","02142"
"706","02143"
"707","02144"
"708","02145"
"709","02146"
"710","02147"
"711","02148"
"712","02149"
"713","02150"
"714","02151"
"715","02152"
"716","02153"
"717","02154"
"718","02155"
"719","02156"
"720","02157"
"721","02158"
"722","02159"
"723","02160"
"724","02161"
"725","02162"
"726","02163"
"727","02164"
"728","02165"
"729","02166"
"730","02167"
"731","02168"
"732","02169"
"733","02170"
"734","02171"
"735","02172"
"736","02173"
"737","02174"
"738","02175"
"739","02176"
"740","02177"
"741","02178"
"742","02179"
"743","02180"
"744","02181"
"745","02184"
"746","02185"
"747","02186"
"748","02187"
"749","02188"
"750","02189"
"751","02190"
"752","02191"
"753","02192"
"754","02193"
"755","02194"
"756","02195"
"757","02196"
"758","02199"
"759","02201"
"760","02202"
"761","02203"
"762","02204"
"763","02205"
"764","02206"
"765","02207"
"766","02208"
"767","02209"
"768","02210"
"769","02211"
"770","02212"
"771","02215"
"772","02216"
"773","02217"
"774","02222"
"775","02228"
"776","02238"
"777","02239"
"778","02241"
"779","02254"
"780","02258"
"781","02266"
"782","02269"
"783","02272"
"784","02277"
"785","02283"
"786","02284"
"787","02293"
"788","02295"
"789","02297"
"790","02298"
"791","02301"
"792","02302"
"793","02303"
"794","02304"
"795","02305"
"796","02322"
"797","02324"
"798","02325"
"799","02327"
"800","02330"
"801","02331"
"802","02332"
"803","02333"
"804","02334"
"805","02337"
"806","02338"
"807","02339"
"808","02340"
"809","02341"
"810","02343"
"811","02344"
"812","02345"
"813","02346"
"814","02347"
"815","02348"
"816","02349"
"817","02350"
"818","02351"
"819","02355"
"820","02356"
"821","02357"
"822","02358"
"823","02359"
"824","02360"
"825","02361"
"826","02362"
"827","02363"
"828","02364"
"829","02366"
"830","02367"
"831","02368"
"832","02369"
"833","02370"
"834","02375"
"835","02379"
"836","02381"
"837","02382"
"838","02401"
"839","02402"
"840","02403"
"841","02404"
"842","02405"
"843","02407"
"844","02420"
"845","02421"
"846","02445"
"847","02446"
"848","02447"
"849","02451"
"850","02452"
"851","02453"
"852","02454"
"853","02455"
"854","02456"
"855","02457"
"856","02458"
"857","02459"
"858","02460"
"859","02461"
"860","02462"
"861","02464"
"862","02465"
"863","02466"
"864","02467"
"865","02468"
"866","02471"
"867","02472"
"868","02474"
"869","02475"
"870","02476"
"871","02477"
"872","02478"
"873","02479"
"874","02481"
"875","02482"
"876","02492"
"877","02493"
"878","02494"
"879","02495"
"880","02532"
"881","02534"
"882","02535"
"883","02536"
"884","02537"
"885","02538"
"886","02539"
"887","02540"
"888","02541"
"889","02542"
"890","02543"
"891","02549"
"892","02551"
"893","02552"
"894","02553"
"895","02554"
"896","02556"
"897","02557"
"898","02558"
"899","02559"
"900","02561"
"901","02562"
"902","02563"
"903","02564"
"904","02565"
"905","02567"
"906","02568"
"907","02571"
"908","02573"
"909","02574"
"910","02575"
"911","02576"
"912","02584"
"913","02595"
"914","02601"
"915","02625"
"916","02630"
"917","02631"
"918","02632"
"919","02633"
"920","02634"
"921","02635"
"922","02636"
"923","02637"
"924","02638"
"925","02639"
"926","02641"
"927","02642"
"928","02643"
"929","02644"
"930","02645"
"931","02646"
"932","02647"
"933","02648"
"934","02649"
"935","02650"
"936","02651"
"937","02652"
"938","02653"
"939","02654"
"940","02655"
"941","02657"
"942","02659"
"943","02660"
"944","02661"
"945","02662"
"946","02663"
"947","02664"
"948","02666"
"949","02667"
"950","02668"
"951","02669"
"952","02670"
"953","02671"
"954","02672"
"955","02673"
"956","02675"
"957","02702"
"958","02703"
"959","02712"
"960","02713"
"961","02714"
"962","02715"
"963","02717"
"964","02718"
"965","02719"
"966","02720"
"967","02721"
"968","02722"
"969","02723"
"970","02724"
"971","02725"
"972","02726"
"973","02735"
"974","02738"
"975","02739"
"976","02740"
"977","02741"
"978","02742"
"979","02743"
"980","02744"
"981","02745"
"982","02746"
"983","02747"
"984","02748"
"985","02760"
"986","02761"
"987","02762"
"988","02763"
"989","02764"
"990","02766"
"991","02767"
"992","02768"
"993","02769"
"994","02770"
"995","02771"
"996","02777"
"997","02779"
"998","02780"
"999","02781"
"1000","02783"
"1001","02789"
"1002","02790"
"1003","02791"
"1004","02801"
"1005","02802"
"1006","02804"
"1007","02805"
"1008","02806"
"1009","02807"
"1010","02808"
"1011","02809"
"1012","02812"
"1013","02813"
"1014","02814"
"1015","02815"
"1016","02816"
"1017","02817"
"1018","02818"
"1019","02822"
"1020","02823"
"1021","02824"
"1022","02825"
"1023","02826"
"1024","02827"
"1025","02828"
"1026","02829"
"1027","02830"
"1028","02831"
"1029","02832"
"1030","02833"
"1031","02835"
"1032","02836"
"1033","02837"
"1034","02838"
"1035","02839"
"1036","02840"
"1037","02841"
"1038","02842"
"1039","02852"
